State,State/Area,"MORTALITY - Maternal Mortality Ratio(MMR), Maternal Mortality Rate and Life Time Risk - Sample Female Population","MORTALITY - Maternal Mortality Ratio(MMR), Maternal Mortality Rate and Life Time Risk - Sample Live Births","MORTALITY - Maternal Mortality Ratio(MMR), Maternal Mortality Rate and Life Time Risk - Maternal Deaths","MORTALITY - Maternal Mortality Ratio(MMR), Maternal Mortality Rate and Life Time Risk - MMR","MORTALITY - Maternal Mortality Ratio(MMR), Maternal Mortality Rate and Life Time Risk - 95% Confidence Interval - Lower Limit","MORTALITY - Maternal Mortality Ratio(MMR), Maternal Mortality Rate and Life Time Risk - 95% Confidence Interval - Upper Limit","MORTALITY - Maternal Mortality Ratio(MMR), Maternal Mortality Rate and Life Time Risk - Maternal Mortality Rate","MORTALITY - Maternal Mortality Ratio(MMR), Maternal Mortality Rate and Life Time Risk - Life Time Risk"
Uttar Pradesh,"SAHARANPUR MANDAL (Saharanpur, Muzaffarnagar)",34292,9828,20, 204 ,114,293, 19 ,0.68%
Uttar Pradesh,"Moradabad Mandal (Bijnor, Muradabad, Rampur, Jyotibha Phule Nagar)",56618,16205,36, 222 ,150,295, 21 ,0.74%
Uttar Pradesh,"MEERUT MANDAL (Meerut, Baghpat, Ghaziabad, Gautam Budha Nagar, Bulandshahr)",110016,29156,44, 151 ,106,195, 13 ,0.47%
Uttar Pradesh,"ALIGARH MANDAL (Aligarh, Hathras, Etah)",38413,12116,31, 256 ,166,346, 27 ,0.94%
Uttar Pradesh,"AGRA MANDAL (Mathura, Agra, Firozabad, Mainpuri)",75912,21593,33, 153 ,101,205, 14 ,0.51%
Uttar Pradesh,"BAREILLY MANDAL (Budaun, Bareilly, Pilibhit, Shahjahanpur)",54078,18329,36, 196 ,132,261, 22 ,0.77%
Uttar Pradesh,"LUCKNOW MANDAL (Kheri, Sitapur, Hardoi, Unnao, Lucknow, Rae Bareli)",99210,27333,85, 311 ,245,377, 29 ,0.99%
Uttar Pradesh,"KANPUR MANDAL (Farrukhabad, Kannauj, Etawah, Auraiya, Kanpur Dehat, Kanpur Nagar)",147450,37946,91, 240 ,191,289, 21 ,0.72%
Uttar Pradesh,"JHANSI MANDAL (Jalaun, Jhansi, Lalitpur)",41543,10708,25, 233 ,142,325, 20 ,0.70%
Uttar Pradesh,"CHITRAKOOT DHAM MANDAL (Hamirpur, Mahoba, Banda, Chitrakoot)",63548,20129,57, 283 ,210,357, 30 ,1.04%
Uttar Pradesh,"ALLAHABAD MANDAL (Fatehpur Pratapgarh, Kaushambi, Allahbad)",69367,19780,56, 283 ,209,357, 27 ,0.94%
Uttar Pradesh,"FAIZABAD MANDAL (Barabanki, Faizabad, Ambedkar Nagar, Sultanpur)",57307,15664,57, 364 ,270,458, 33 ,1.15%
Uttar Pradesh,"DEVI PATAN MANDAL (Bahraich, Shrawasti, Balrampur, Gonda)",61712,25376,93, 366 ,292,441, 50 ,1.74%
Uttar Pradesh,"BASTI MANDAL (Siddharthnagar, Basti, Sant Kabir Nagar)",36188,12811,39, 304 ,209,400, 36 ,1.25%
Uttar Pradesh,"GORAKHPUR MANDAL (Maharajganj, Gorakhpur, Kushinagar, Deoria)",69405,19865,60, 302 ,226,378, 29 ,1.00%
Uttar Pradesh,"AZAMGARH MANDAL (Azamgarh, Mau, Ballia)",63470,16644,45, 270 ,191,349, 24 ,0.82%
Uttar Pradesh,"VARANSI MANDAL (Jaunpur, Ghazipur, Chandauli, Varanasi)",70182,18140,51, 281 ,204,358, 24 ,0.84%
Uttar Pradesh,"MIRZAPUR MANDAL (Sant Ravidas Nagar (Bhadohi), Mirzapur, Sonbhadra)",29886,8702,19, 218 ,120,316, 21 ,0.74%
 Uttarakhand , UTTARAKHAND ,"464,551 ","87,260 ",144 ,165 ,138 ,192 ,10 ,0.36%
 Uttarakhand ," GARHWAL HQ (Uttarkashi, Chamoli, Rudraprayag, Tehri Garhwal, Dehradun, Pauri Garhwal, Haridwar) ","313,337 ","60,846 ",96 ,158 ,126 ,189 ,10 ,0.36%
 Uttarakhand ," KUMAON HQ (Pithoragarh, Bageshwar, Almora, Champawat, Nanital, Udham Singh Nagar) ","151,214 ","26,414 ",48 ,182 ,130 ,233 ,11 ,0.37%
